tr,eu5,imm7,ref2,ref3,ref4,country,germany,name,male,age,edu,income,unemployed,lrscale
0,0.7,0.6,0,0.25,0,0,,Austria,0,41,4,,0,7
0,0.8,0.8,0.5,0.25,0.25,0,,Austria,0,28,4,6,0,7
0,0.5,0.7,0.5,0.25,0.75,0,,Austria,1,24,3,5,0,5
0,0,0,0.25,0.25,0.5,0,,Austria,0,81,2,,0,
0,0.5,0.1,0.5,0.25,0.5,0,,Austria,1,54,5,2,0,5
0,0.3,0.5,0.25,0.25,0.75,0,,Austria,1,76,3,3,0,4
0,0.2,0.3,0.25,0.25,0.5,0,,Austria,1,46,3,2,0,4
0,0,0,0,0,0,0,,Austria,1,53,2,,0,
0,0.8,0.3,0,0,0,0,,Austria,0,76,3,,0,5
0,0.4,0.4,0.25,0.25,0.75,0,,Austria,1,37,5,6,0,6
0,0.6,0.6,0.5,0.5,0.75,0,,Austria,1,48,5,,0,5
0,0.5,0.5,0.5,0.5,0.5,0,,Austria,1,27,3,3,0,5
0,0.3,,0.75,0.75,0.75,0,,Austria,0,78,3,6,0,4
0,0.2,0.7,0.5,0.5,0.75,0,,Austria,1,77,7,9,0,5
0,0.1,0.3,1,0.75,1,0,,Austria,0,29,3,4,0,5
0,0.2,0.7,0.75,0.5,0.75,0,,Austria,1,36,4,8,0,5
0,0.5,0.7,0.75,1,0.75,0,,Austria,0,26,3,5,0,7
0,0.6,0.6,0.75,0.75,1,0,,Austria,0,90,3,2,0,5
0,1,1,0,1,1,0,,Austria,0,48,3,,0,5
0,0.2,0.5,0.75,0.75,1,0,,Austria,0,49,3,10,0,7
0,0,0.6,0,0.25,0.25,0,,Austria,0,72,5,8,0,5
0,0,0.5,0,0.5,0.25,0,,Austria,1,47,5,9,0,6
0,0.2,0.6,0,0.5,0.5,0,,Austria,1,51,3,,0,7
0,0,0,0.25,0.25,0.25,0,,Austria,0,71,3,,0,
0,0.7,0.9,0.75,1,0.75,0,,Austria,1,25,5,2,1,3
0,0.9,0.9,1,1,1,0,,Austria,1,45,7,,0,3
0,0,0,0,0,0.25,0,,Austria,1,53,5,,0,5
0,0.5,0,0,0,0,0,,Austria,1,33,3,,0,7
0,0.6,0.5,0.75,0.25,0.75,0,,Austria,0,64,3,6,0,6
0,0.3,0.4,0,0.5,,0,,Austria,0,74,3,6,0,5
0,0.3,0.5,0.75,0.25,0.25,0,,Austria,0,62,4,7,0,5
0,0.9,0.3,0.5,0.25,0.25,0,,Austria,1,,3,5,0,9
0,0,0.5,0.25,0.25,0.25,0,,Austria,0,35,3,7,0,5
0,0,0.4,0.75,0.5,0.75,0,,Austria,1,69,3,4,0,
0,0.7,0.8,0.75,0.25,1,0,,Austria,1,62,3,3,0,3
0,0.6,0.6,0.25,0.75,0.5,0,,Austria,0,21,5,1,0,5
0,0.5,0.4,0.5,0.5,0.5,0,,Austria,1,61,3,,0,10
0,0.3,0.3,0.25,0.25,0.5,0,,Austria,0,22,3,,0,5
0,0,0.2,0,0.25,0,0,,Austria,1,36,3,,0,5
0,0.1,0,0,0,0,0,,Austria,0,62,2,9,0,9
0,0.8,0.7,0.5,0.5,0.5,0,,Austria,1,49,7,6,0,
0,0,0,0,0,0,0,,Austria,1,53,6,4,0,9
0,0.6,0.4,0.5,0.5,0.5,0,,Austria,0,47,5,2,0,3
0,0,0.5,0,0.5,0.25,0,,Austria,0,48,3,8,0,5
0,0.6,0.6,0.25,0.5,0.75,0,,Austria,1,60,3,,0,5
0,0.8,0.7,0.75,0.75,0.5,0,,Austria,0,72,2,2,0,6
0,0,0.3,0,0.25,0.25,0,,Austria,0,33,4,6,0,5
0,0.4,0.6,0.25,0.5,0.75,0,,Austria,0,31,6,9,0,5
0,0.3,0,0,0.5,0,0,,Austria,0,33,3,,0,4
0,0.3,0.4,0.25,0.25,0.25,0,,Austria,0,61,2,6,0,4
0,0.5,0.9,0.75,0.75,0.75,0,,Austria,0,78,6,7,0,1
0,0.4,0.4,0.25,0.25,0.5,0,,Austria,0,58,3,2,0,6
0,0.3,0.8,1,0.5,1,0,,Austria,0,52,3,,0,5
0,0.1,0.6,0,1,0.5,0,,Austria,1,42,7,7,0,8
0,0.5,0.7,0.75,1,1,0,,Austria,0,22,3,,0,3
0,0,0.5,0,0.25,0.5,0,,Austria,0,43,6,10,0,5
0,0.3,0.4,0.25,0.25,0.25,0,,Austria,1,18,3,5,0,6
0,0.5,0.8,0.75,0.5,0.75,0,,Austria,1,52,7,10,0,4
0,0.7,0.8,1,0.75,1,0,,Austria,0,22,4,2,0,3
0,0.6,0.5,0.25,0.25,0.25,0,,Austria,0,25,5,3,0,5
0,0.3,0.1,1,0.75,1,0,,Austria,0,56,3,,0,
0,0.6,0.4,0.75,0.75,0.75,0,,Austria,1,27,5,2,0,5
0,0.7,0.8,0,0.5,0,0,,Austria,1,52,3,,0,
0,0.1,0,0,0,0,0,,Austria,0,34,3,,1,2
0,0.2,0,0,0,0,0,,Austria,1,75,3,2,0,9
0,0.4,0.4,0.25,0.25,0.25,0,,Austria,1,56,3,5,0,6
0,0.3,0.5,0.5,0.5,0.75,0,,Austria,0,70,3,1,0,4
0,0.3,0.6,0.5,0.5,0.5,0,,Austria,1,48,3,2,0,5
0,1,0.8,1,1,1,0,,Austria,1,32,6,,0,0
0,0,0.2,0,0.5,0.25,0,,Austria,0,83,7,5,0,6
0,0.7,0.5,0.75,0.75,0.75,0,,Austria,0,25,4,2,0,4
0,,0.1,0.25,,0.25,0,,Austria,0,32,2,3,0,
0,0.5,0.6,0.5,0.5,0.5,0,,Austria,0,85,3,4,0,7
0,0,0.5,0,0.25,0.25,0,,Austria,0,46,3,8,0,5
0,0.8,0.4,0.25,0,0,0,,Austria,0,30,3,,0,10
0,,0.3,0.25,0.5,0.75,0,,Austria,0,30,1,,1,4
0,0.4,0.3,0.25,0.25,0.25,0,,Austria,1,61,3,,0,7
0,0.2,0.7,0.75,0.75,0.75,0,,Austria,1,61,2,3,0,1
0,0.1,0,0,0,0.25,0,,Austria,1,43,2,,0,8
0,0,0.4,0.5,0.75,0.5,0,,Austria,1,41,7,,0,3
0,0,0.6,0,0,0,0,,Austria,0,71,3,5,0,8
0,0,0.3,0,0.25,0.25,0,,Austria,1,67,3,6,0,5
0,0.3,0.3,0,0,0.5,0,,Austria,0,39,3,7,0,6
0,0,0.1,0.5,0.5,0.5,0,,Austria,1,23,3,2,0,9
0,0.5,0.4,0,0,0,0,,Austria,0,21,3,2,0,8
0,0,0.5,0,0.25,0.5,0,,Austria,1,37,5,7,0,5
0,0,0.5,0,0.25,0.25,0,,Austria,0,42,3,8,0,5
0,0.1,0.5,0,0.5,0.5,0,,Austria,0,56,3,2,0,8
0,0,0.5,0,0.5,0.25,0,,Austria,1,76,3,5,0,5
0,0.5,0.6,0.25,0.25,0.25,0,,Austria,0,70,3,5,0,5
0,0.5,0.7,1,,0.75,0,,Austria,0,36,5,,0,5
0,0.4,0.7,0.5,0.25,0.5,0,,Austria,0,70,3,2,0,5
0,0,0.5,0,0,0.5,0,,Austria,1,80,7,8,0,5
0,0,0.8,0,0.25,0,0,,Austria,1,46,3,4,0,8
0,0.1,0.4,0.5,0.25,0.5,0,,Austria,1,52,2,3,0,6
0,0.8,0.5,0.25,0.75,0.5,0,,Belgium,1,51,7,,0,
1,0.5,1,1,1,1,0,,Belgium,1,18,2,7,0,
1,0.3,0.6,0.75,1,0.75,0,,Belgium,0,37,4,3,0,3
0,0.3,0.3,0.75,0.75,0.5,0,,Belgium,0,80,4,7,0,7
0,0.2,0.4,0.75,0.25,0,0,,Belgium,0,46,5,5,0,4
1,0.6,0.2,0,0.5,0,0,,Belgium,1,29,4,7,0,7
1,0.3,0.5,0,0,0.5,0,,Belgium,1,70,4,6,0,4
1,0.8,0.2,0,1,0,0,,Belgium,0,39,5,4,0,7
0,1,0.8,0.5,0.75,0.5,0,,Belgium,0,29,6,7,0,2
0,0.8,0.7,0.75,0.5,0.5,0,,Belgium,1,28,4,7,0,5
0,0.2,0.3,0.25,0.5,0.25,0,,Belgium,1,54,4,5,0,6
0,0.8,0.5,0.75,0.25,0.75,0,,Belgium,1,59,7,6,0,1
1,0.6,0.6,1,0.5,0.75,0,,Belgium,0,55,6,5,0,6
0,0,0,0,0.75,0,0,,Belgium,0,68,4,,0,6
0,0.5,0.5,0.25,0.25,0.75,0,,Belgium,0,41,4,10,0,5
0,0.4,0.7,0.5,1,0.5,0,,Belgium,1,31,6,7,0,4
0,0.2,0.3,0.75,0.25,0.25,0,,Belgium,1,51,2,6,0,2
0,0.5,0.5,0.25,0.75,0.5,0,,Belgium,0,27,6,7,0,3
0,0.4,0.7,0.5,0.75,0.75,0,,Belgium,0,69,2,6,0,5
0,0,0.2,0,0.5,0.5,0,,Belgium,1,45,3,7,0,
1,0.7,0.6,0.75,1,0.75,0,,Belgium,1,16,2,5,0,
0,0.6,0.4,0.25,0.75,0.75,0,,Belgium,1,30,4,6,0,3
0,0.5,0.9,1,0.75,0.75,0,,Belgium,1,17,2,6,0,1
0,0.8,0,0,0.25,0,0,,Belgium,0,61,,6,0,4
1,0.2,0.5,1,0.75,0,0,,Belgium,1,64,3,7,1,2
0,0.7,0.7,1,1,1,0,,Belgium,1,66,2,1,0,3
0,0.4,0.4,0.5,0.25,0.75,0,,Belgium,1,80,2,4,0,4
0,0.8,0.8,0.5,1,0,0,,Belgium,1,59,7,8,0,4
0,0.7,0.7,0.75,0.5,1,0,,Belgium,0,40,5,4,1,3
1,0.6,0.6,0.75,0.75,0.75,0,,Belgium,1,37,7,8,0,6
0,0.3,0.4,0.5,0.5,0.25,0,,Belgium,0,36,2,7,0,5
0,0,0,0.5,0.25,0.25,0,,Belgium,0,72,1,3,0,1
0,1,0.8,0.25,0.75,0.25,0,,Belgium,0,45,7,6,0,5
1,0.8,0.8,0.75,0.75,0.75,0,,Belgium,1,57,6,9,0,3
0,0.5,0.5,0.5,0.5,0.75,0,,Belgium,1,17,2,7,0,4
